the,0
and,1
to,2
he,3
of,4
they,5
you,6
a,7
in,8
for,9
that,10
is,11
not,12
him,13
said,14
will,15
his,16
with,17
him,,18
was,19
it,20
them,,21
be,22
on,23
had,24
were,25
one,26
who,27
them,28
I,29
are,30
but,31
out,32
from,33
Jesus,34
all,35
came,36
have,37
at,38
do,39
your,40
no,41
went,42
when,43
said,,44
what,45
this,46
has,47
into,48
as,49
their,50
up,51
disciples,52
those,53
my,54
or,55
there,56
by,57
saw,58
began,59
asked,60
crowd,61
many,62
man,63
about,64
you,,65
come,66
she,67
God,68
been,69
tell,70
against,71
did,72
say,73
took,74
You,75
heard,76
it,,77
after,78
can,79
if,80
me,81
put,82
so,83
these,84
we,85
Son,86
around,87
away,88
down,89
see,90
some,91
among,92
know,93
Why,94
gave,95
kingdom,96
people,97
two,98
called,99
great,100
house,101
saying,,102
us,103
again,104
also,105
even,106
must,107
sent,108
then,109
before,110
chief,111
first,112
go,113
immediately,114
left,115
may,116
things,117
whole,118
answered,119
because,120
enter,121
give,122
hand,123
him;,124
how,125
scribes,126
told,127
Man,128
The,129
an,130
her,131
made,132
shall,133
three,134
would,135
Jesus,,136
Pharisees,137
another,,138
could,139
father,140
good,141
let,142
mother,143
ordered,144
over,145
still,146
them;,147
want,148
whom,149
Peter,150
any,151
anyone,152
boat,153
brought,154
days,155
done,156
followed,157
like,158
looked,159
name,160
never,161
priests,162
say,,163
saying,164
sitting,165
take,166
way,167
God,,168
Lord,169
Teacher,,170
What,171
anything,172
ask,173
cast,174
day,175
disciples,,176
entered,177
hands,178
hear,179
high,180
laid,181
large,182
little,183
looking,184
me,,185
more,186
other,187
place,188
right,189
sat,190
this,,191
unclean,192
very,193
Do,194
He,195
James,196
John,197
John,,198
begged,199
believe,200
does,201
eat,202
fell,203
found,204
given,205
going,206
her,,207
its,208
spirit,209
than,210
through,211
while,212
Herod,213
How,214
Mary,215
am,216
authority,217
become,218
bring,219
broke,220
brother,221
child,222
coming,223
everything,224
except,225
gathered,226
him.<eos>And,227
him.<eos>But,228
him.<eos>Then,229
himself,230
human,231
is,,232
might,233
much,234
nothing,235
ones,236
rise,237
sea,,238
seven,239
testimony,240
until,241
up,,242
whatever,243
where,244
which,245
It,246
King,247
This,248
Truly,249
Who,250
able,251
ahead,252
another,253
came,,254
cannot,255
children,256
come,,257
comes,258
crowd,,259
drink,260
get,261
got,262
head,263
heaven,,264
here,265
him.<eos>He,266
kill,267
lawful,268
life,269
man,,270
once,271
only,272
power,273
region,274
scribes,,275
seed,276
send,277
should,278
son,279
sown,280
spoke,281
stood,282
such,283
taken,284
teach,285
twelve,286
under,287
walking,288
whoever,289
wine,290
word,291
Elijah,292
Have,293
Is,294
Let,295
again,,296
already,297
arrest,298
better,299
blind,300
boat,,301
body,302
brothers,303
commandment,304
cut,305
dead,306
destroy,307
doing,308
earth,309
evil,310
follow,311
handed,312
hands,,313
heart,,314
him.<eos>When,315
house,,316
indeed,317
keep,318
led,319
loaves,320
longer,321
make,322
money,323
new,324
off,325
others,326
out,,327
pass,328
priests,,329
proclaimed,330
puts,331
ran,332
replied,,333
sake,334
save,335
since,336
sins,337
speak,338
temple,339
temple,,340
them.<eos>And,341
thrown,342
touch,343
touched,344
twelve,,345
understand,346
upon,347
without,348
woman,349
Are,350
Go,351
If,352
Jerusalem,,353
Moses,354
My,355
Passover,356
Peter,,357
Pilate,358
Simon,359
We,360
Whoever,361
and,,362
appeared,363
ate,364
back,365
baskets,366
beat,367
being,368
betray,369
broken,370
clothes,371
cock,372
cried,373
crucified,374
cup,375
daughter,376
day,,377
days,,378
death;,379
deny,380
deserted,381
divided,382
evening,383
eyes,384
faith,385
false,386
fig,387
five,388
forth,389
four,390
full,391
goes,392
hour,393
it.<eos>And,394
it.<eos>Then,395
it;,396
king,397
leaving,398
linen,399
long,400
love,401
married,402
mat,403
me.<eos>For,404
near,405
news,406
nor,407
ointment,408
order,409
outside,,410
over,,411
pieces,412
priest,413
receive,414
sabbath,415
set,416
sick,417
slave,418
someone,419
sternly,420
stone,421
synagogue,,422
taking,423
talking,424
tax,425
teaching,426
tenants,427
